Student Name,Department,Age,Test Score,Attendance %,,,Performance index
Student 001,Business Admin,29,37,83,formulas,,44.57831325
Student 002,Engineering,24,90,100,function,,90
Student 003,Computer Science,26,93,60,sum,451,155
Student 004,Engineering,25,36,89,average,56.375,40.4494382
Student 005,Engineering,29,36,95,min,35,37.89473684
Student 006,Accounting,19,88,91,max,93,96.7032967
Student 007,Computer Science,18,35,78,count,8,44.87179487
Student 008,Computer Science,24,,83,counta,8,0
Student 009,Computer Science,24,36,100,countblank,1,36
Student 010,Engineering,25,87,85,,,
Student 011,Business Admin,22,78,89,,,
Student 012,Computer Science,20,66,87,,,
Student 013,Engineering,29,66,75,,,
Student 014,Accounting,25,89,86,,,
Student 015,Business Admin,23,90,,,,
Student 016,Accounting,28,51,87,,,
Student 017,Business Admin,20,72,57,,,
Student 018,Engineering,18,58,72,,,
Student 019,Economics,20,45,79,,,
Student 020,Business Admin,22,50,96,,,
Student 021,Accounting,20,93,85,,,
Student 022,Engineering,18,37,57,,,
Student 023,Business Admin,22,54,94,,,
Student 024,Economics,27,,100,,,
Student 025,Economics,24,70,78,,,
Student 026,Computer Science,24,53,86,,,
Student 027,Computer Science,28,53,76,,,
Student 028,Accounting,26,54,77,,,
Student 029,Business Admin,27,86,56,,,
Student 030,Business Admin,27,67,81,,,
Student 031,Computer Science,29,74,96,,,
Student 032,Business Admin,30,73,56,,,
Student 033,Business Admin,20,35,80,,,
Student 034,Economics,24,45,71,,,
Student 035,Computer Science,18,91,94,,,
Student 036,Engineering,21,84,87,,,
Student 037,Computer Science,30,57,63,,,
Student 038,Engineering,21,65,97,,,
Student 039,Economics,22,76,,,,
Student 040,Accounting,24,41,83,,,
Student 041,Business Admin,24,50,96,,,
Student 042,Economics,30,94,80,,,
Student 043,Business Admin,28,36,89,,,
Student 044,Accounting,30,35,79,,,
Student 045,Accounting,21,82,78,,,
Student 046,Economics,30,46,67,,,
Student 047,Accounting,24,71,61,,,
Student 048,Engineering,28,66,90,,,
Student 049,Accounting,20,43,99,,,
Student 050,Business Admin,23,53,74,,,
Student 051,Business Admin,29,82,55,,,
Student 052,Business Admin,19,37,62,,,
Student 053,Business Admin,27,54,100,,,
Student 054,Engineering,30,58,70,,,
Student 055,Computer Science,26,88,68,,,
Student 056,Economics,22,67,66,,,
Student 057,Business Admin,23,,77,,,
Student 058,Accounting,29,70,69,,,
Student 059,Business Admin,29,72,82,,,
Student 060,Accounting,29,59,88,,,
Student 061,Accounting,29,52,56,,,
Student 062,Business Admin,21,100,86,,,
Student 063,Engineering,28,88,,,,
Student 064,Accounting,27,69,76,,,
Student 065,Accounting,24,95,79,,,
Student 066,Business Admin,29,75,76,,,
Student 067,Accounting,26,67,76,,,
Student 068,Accounting,24,67,96,,,
Student 069,Business Admin,18,48,60,,,
Student 070,Business Admin,18,55,69,,,
Student 071,Economics,26,82,97,,,
Student 072,Engineering,28,54,91,,,
Student 073,Engineering,26,42,87,,,
Student 074,Accounting,21,41,62,,,
Student 075,Engineering,30,51,98,,,
Student 076,Accounting,26,67,,,,
Student 077,Economics,20,82,59,,,
Student 078,Business Admin,24,93,93,,,
Student 079,Business Admin,23,56,58,,,
Student 080,Business Admin,25,64,60,,,
Student 081,Engineering,28,72,99,,,
Student 082,Economics,26,,86,,,
Student 083,Engineering,22,88,84,,,
Student 084,Engineering,18,42,89,,,
Student 085,Economics,20,61,94,,,
Student 086,Economics,27,61,70,,,
Student 087,Economics,29,55,67,,,
Student 088,Economics,25,64,96,,,
Student 089,Business Admin,28,62,84,,,
Student 090,Computer Science,23,98,,,,
Student 091,Computer Science,25,95,71,,,
Student 092,Economics,26,82,73,,,
Student 093,Computer Science,21,53,82,,,
Student 094,Computer Science,18,38,80,,,
Student 095,Economics,18,,91,,,
Student 096,Computer Science,27,98,80,,,
Student 097,Engineering,21,83,77,,,
Student 098,Accounting,29,51,63,,,
Student 099,Accounting,24,78,66,,,
Student 100,Economics,19,64,55,,,
